[0, 0]:	aakkoset - алфавит
[1, 1]:	aalto - волна
[10, 10]:	aapinen - букварь
[100, 100]:	amme - ванна, чан, кадка
[1000, 1000]:	kansallispuvussa - в национальном костюме (от kansallispuku)
[1001, 1001]:	kansallisruokia - национальные блюда
[1002, 1002]:	kansallisuus - национальность
[1003, 1003]:	kansanedustaja - депутат народный
[1004, 1004]:	kansanlaulu - народная песня
[1005, 1005]:	kansanlauluja - народные песни (от kansanlaulu)
[1006, 1006]:	kansanmusiikki - народная музыка
[1007, 1007]:	kansanperinne - народная традиция
[1008, 1008]:	kansanrunous - фольклор, устное народно-поэтическое творчество
[1009, 1009]:	kansatieteellinen - этнографический
[101, 101]:	ammunta - стрельба
[1010, 1010]:	kansi - крышка
[1011, 1011]:	kanslia - канцелярия
[1012, 1012]:	kanssakäyminen - общение
[1013, 1013]:	kantaa - носить
[1014, 1014]:	kantaja - носильщик
[1015, 1015]:	kapea - узкий
[1016, 1016]:	kapeat - узкие (от kapea)
[1017, 1017]:	kappale - штука, глава, песня
[1018, 1018]:	kapteeni - капитан
[1019, 1019]:	karaatin - каратов (grn. от karaatti)
[102, 102]:	a-molli - ля минор
[1020, 1020]:	karaatti - карат
[1021, 1021]:	karata - убегать
[1022, 1022]:	karhu - медведь
[1023, 1023]:	Karjala - Карелия
[1024, 1024]:	karjalainen - карел(ка)
[1025, 1025]:	karjanhoito - животноводство
[1026, 1026]:	kartalta - на карте (от kartta)
[1027, 1027]:	kartan - карту (от kartta)
[1028, 1028]:	kartongin - блок (от kartonki)
[1029, 1029]:	kartta - карта
[103, 103]:	ananas - ананас
[1030, 1030]:	karttaa - карту (от kartta)
[1031, 1031]:	karttua - возрастать, прибавляться, накапливаться
[1032, 1032]:	kasetti - кассета
[1033, 1033]:	kassa - касса
[1034, 1034]:	kassanhoitaja - кассир
[1035, 1035]:	kassi - сумка, авоська
[1036, 1036]:	kaste - роса
[1037, 1037]:	kastella - поливать, мочить
[1038, 1038]:	kastike - соус, подливка
[1039, 1039]:	kasvaa - расти, вырастать, вырасти
[104, 104]:	angiina - ангина
[1040, 1040]:	kasvain - отросток, опухоль
[1041, 1041]:	kasvattaa - воспитывать, выращивать, разводить
[1042, 1042]:	kasvattaja - воспитатель
[1043, 1043]:	kasvatus - воспитание
[1044, 1044]:	kasvatusopillinen - педагогический
[1045, 1045]:	kasvava - растущий, подрастающий
[1046, 1046]:	kasvihuone - теплица, оранжерея, парник
[1047, 1047]:	kasvikset - овощи
[1048, 1048]:	kasvillisuus - растительность
[1049, 1049]:	kasvis - овощь
[105, 105]:	annan - я дам
[1050, 1050]:	kasvissyöjä - вегетарианец
[1051, 1051]:	kasvit - растения
[1052, 1052]:	kasvitiede - ботаника
[1053, 1053]:	kasvitieteellinen - ботанический
[1054, 1054]:	kasvovoide - крем для лица
[1055, 1055]:	katse - взгляд
[1056, 1056]:	katselija - зритель
[1057, 1057]:	katsella - рассматривать, разглядывать
[1058, 1058]:	katsoa - смотреть
[1059, 1059]:	katsokaa - смотрите (от katsoa)
[106, 106]:	anomus - заявление
[1060, 1060]:	kattaa - покрывать
[1061, 1061]:	kattopelti - кровельное железо
[1062, 1062]:	katu - улица
[1063, 1063]:	kauan - долго
[1064, 1064]:	kauas - далеко
[1065, 1065]:	kauden - сезон, период
[1066, 1066]:	kauhea - ужасный
[1067, 1067]:	kaukana - далеко
[1068, 1068]:	kaukopuhelu - междугородный разговор
[1069, 1069]:	kaukopuhelun - междугородный разговор (от kaukopuhelu)
[107, 107]:	anoppi - свекровь, теща
[1070, 1070]:	kaula - шея
[1071, 1071]:	kaulakoru - ожерелье
[1072, 1072]:	kaulaliina - шарф
[1073, 1073]:	kauneus - красота
[1074, 1074]:	kauniisti - красиво
[1075, 1075]:	kaunis - красивый
[1076, 1076]:	kaunistella - приукрашивать
[1077, 1077]:	kaunokirjallisuus - художественная литература
[1078, 1078]:	kauppa - магазин
[1079, 1079]:	kauppahalli - торговый зал
[108, 108]:	ansio - заслуга
[1080, 1080]:	kauppaoppilaitos - коммерческое учебное заведение
[1081, 1081]:	kauppavaihto - торговый оборот
[1082, 1082]:	kauppayhtiö - торговая фирма
[1083, 1083]:	kauppayhtiön - торговой фирмы (от kauppayhtiц)
[1084, 1084]:	kaupungille - в город (от kaupunki)
[1085, 1085]:	kaupungin - города (от kaupunki)
[1086, 1086]:	kaupunginosa - район города
[1087, 1087]:	kaupunki - город
[1088, 1088]:	kaupunkiliikenne - городской транспорт
[1089, 1089]:	kaura - овес
